Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
base,1.0,1.0000000000005858,NA,1.0000000000005858,NA,NA,-6.17213890581536e-09,1.897367968756758e-08,-0.3253000476159418
Coding_UCSC,0.014259139875316193,0.07294329562301831,0.029090899337683322,5.115546678189859,2.0401580734923703,0.04474735818496832,1.8277622944731233e-07,1.2083817857305495e-07,1.512570212540994
Coding_UCSC.flanking.500,0.04936288396266565,0.005713052511592907,0.04542003980823962,0.11573579282591809,0.9201253282241756,0.3400281332506462,-1.4570375513648025e-07,6.600928582650547e-08,-2.207322095855401
Conserved_LindbladToh,0.024670538061474286,0.08496559055977644,0.045630201359020524,3.4440104365806032,1.8495827389462989,0.1807052587165557,-4.6090094472406694e-08,2.47876082479565e-07,-0.18594006332259336
Conserved_LindbladToh.flanking.500,0.30553135724110025,0.554681033528114,0.06371207399757992,1.8154635207881635,0.20852875650109975,0.00017900607305711458,1.3199465887574403e-08,1.9328870256550423e-08,0.682888638206943
CTCF_Hoffman,0.02381466422888569,-0.03803675881040681,0.0453658426183886,-1.5971990385768535,1.904954114925655,0.17436822468316127,-1.0625321917242893e-07,7.23601426176897e-08,-1.4683942751994172
CTCF_Hoffman.flanking.500,0.04697979033942896,0.06937265906624628,0.049160366916522556,1.4766489710794546,1.04641520452388,0.6476502487976707,-2.249816930437834e-09,4.633174509097837e-08,-0.04855886446798038
DGF_ENCODE,0.13536260314479115,0.1986400594139443,0.10670741731317095,1.467466307525633,0.7883079582846891,0.5522985912192071,3.490523845207593e-09,4.1756475223713944e-08,0.08359239678413488
DGF_ENCODE.flanking.500,0.4028609201666991,0.4214042307373161,0.13116438255310434,1.0460290627419109,0.32558229400565847,0.8874185697216703,-1.6040746258111823e-08,1.824189877077623e-08,-0.8793353400145667
DHS_peaks_Trynka,0.10995982492666276,0.09609220433344982,0.10885451958319664,0.8738846610345016,0.9899480983695337,0.898478044788851,2.0104010383020744e-08,9.021083072845857e-08,0.22285583915677862
DHS_Trynka,0.16574276914942213,0.13105351868155696,0.10328017339490583,0.7907042904744052,0.6231353194165329,0.7367352452016949,-1.6370909053907055e-08,5.5880870843380595e-08,-0.2929608792209129
DHS_Trynka.flanking.500,0.33006266063361167,0.4569456159880516,0.13370500811250086,1.384420810008822,0.4050897725172282,0.34622834412114467,-5.279409377833532e-09,2.2563627002610774e-08,-0.23397875604053667
Enhancer_Andersson,0.004313758448650673,0.013161036637070519,0.01889973371605655,3.050944273708056,4.38126843239642,0.638931428478718,6.834587482851353e-08,1.8561709831021216e-07,0.3682089389970456
Enhancer_Andersson.flanking.500,0.014708884631327565,0.005284929279630294,0.03623257137287881,0.3593018377732219,2.463311956075122,0.7948324414395802,-6.472229194083155e-08,1.0796654083125963e-07,-0.5994661998293128
Enhancer_Hoffman,0.04192322331949207,-0.012882543460956115,0.09242400718361443,-0.30728895444846244,2.2046016471410534,0.5547024445442145,-1.759741047152973e-07,1.326484320223741e-07,-1.3266203153130023
Enhancer_Hoffman.flanking.500,0.04788213164587625,0.140988309175398,0.08463263677301675,2.944486895823911,1.7675202390515452,0.2761786036059003,1.9488294954762078e-08,6.664919229389383e-08,0.29240106720014264
FetalDHS_Trynka,0.08368288784110607,-0.017789719738695097,0.09377917329091502,-0.2125849166734488,1.1206493431366684,0.2808223249380321,-1.4704764699225325e-07,7.476212199946932e-08,-1.9668736394787862
